Размер матрицы,Конфигурация блоков,Потоков в блоке,Время_замер_1_с,Время_замер_2_с,Время_замер_3_с,Среднее_время_с
200,8x8,64,0.001691,0.001537,0.001587,0.001605
200,16x8,128,0.001510,0.001509,0.001520,0.001513
200,16x16,256,0.001602,0.001562,0.001494,0.001553
200,32x8,256,0.001533,0.001518,0.001515,0.001522
200,32x16,512,0.001483,0.001542,0.001497,0.001507
200,32x32,1024,0.001529,0.001530,0.001577,0.001545
400,8x8,64,0.005882,0.005889,0.005870,0.005880
400,16x8,128,0.005496,0.005619,0.005607,0.005574
400,16x16,256,0.005530,0.005576,0.005571,0.005559
400,32x8,256,0.005588,0.005531,0.005659,0.005593
400,32x16,512,0.005613,0.005650,0.005698,0.005653
400,32x32,1024,0.005588,0.005527,0.005528,0.005548
800,8x8,64,0.034672,0.028125,0.029033,0.030610
800,16x8,128,0.026300,0.027502,0.025081,0.026294
800,16x16,256,0.025071,0.025194,0.025838,0.025368
800,32x8,256,0.024527,0.031378,0.026812,0.027572
800,32x16,512,0.025042,0.024898,0.024643,0.024861
800,32x32,1024,0.024345,0.025401,0.025338,0.025028
1200,8x8,64,0.062232,0.062893,0.062337,0.062487
1200,16x8,128,0.061395,0.059562,0.059248,0.060068
1200,16x16,256,0.059060,0.059182,0.069309,0.062517
1200,32x8,256,0.063687,0.064928,0.063640,0.064085
1200,32x16,512,0.063490,0.063347,0.062794,0.063210
1200,32x32,1024,0.062577,0.066335,0.063146,0.064019
1600,8x8,64,0.149154,0.149341,0.151685,0.150060
1600,16x8,128,0.129319,0.133122,0.127911,0.130117
1600,16x16,256,0.135029,0.128289,0.126604,0.129974
1600,32x8,256,0.119785,0.118513,0.120823,0.119707
1600,32x16,512,0.119425,0.120037,0.124018,0.121160
1600,32x32,1024,0.118941,0.119034,0.129356,0.122443
2000,8x8,64,0.237873,0.234048,0.232518,0.234813
2000,16x8,128,0.197209,0.200584,0.195824,0.197872
2000,16x16,256,0.195081,0.194541,0.196749,0.195457
2000,32x8,256,0.212745,0.200086,0.225843,0.212891
2000,32x16,512,0.280864,0.269587,0.263315,0.271255
2000,32x32,1024,0.264326,0.268524,0.230101,0.254317
