№,Размер,Процессы,Среднее время(с),Мин время(с),Макс время(с),Стд.отклонение,Умножения,Сложения,Присваивания,Всего операций
1,200,1,0.094993,0.089227,0.102541,0.005580,8000000,8000000,80000,16080000
2,400,1,0.852500,0.756048,0.919380,0.069882,64000000,64000000,320000,128320000
3,800,1,6.182657,6.153981,6.221113,0.028265,512000000,512000000,1280000,1025280000
4,1200,1,21.986348,21.732780,22.123024,0.179481,1728000000,1728000000,2880000,3458880000
5,1600,1,59.783764,59.166844,60.920309,0.804639,4096000000,4096000000,5120000,8197120000
6,2000,1,115.280894,113.796659,117.856100,1.828010,8000000000,8000000000,8000000,16008000000
1,200,2,0.052857,0.048544,0.061414,0.006051,8000000,8000000,80000,16080000
2,400,2,0.452101,0.357376,0.641316,0.133795,64000000,64000000,320000,128320000
3,800,2,3.186131,3.037093,3.324905,0.117723,512000000,512000000,1280000,1025280000
4,1200,2,17.500044,11.169392,21.805638,4.572241,1728000000,1728000000,2880000,3458880000
5,1600,2,28.982030,28.866196,29.090881,0.091860,4096000000,4096000000,5120000,8197120000
6,2000,2,56.044062,55.008563,56.844185,0.767649,8000000000,8000000000,8000000,16008000000
1,200,4,0.032962,0.025008,0.037704,0.005658,8000000,8000000,80000,16080000
2,400,4,0.246834,0.215636,0.280639,0.026601,64000000,64000000,320000,128320000
3,800,4,1.736404,1.645514,1.830626,0.075608,512000000,512000000,1280000,1025280000
4,1200,4,5.533912,5.479778,5.592090,0.045940,1728000000,1728000000,2880000,3458880000
5,1600,4,17.164008,15.349582,19.157377,1.559667,4096000000,4096000000,5120000,8197120000
6,2000,4,37.600202,33.016265,43.048094,4.140790,8000000000,8000000000,8000000,16008000000
